model,organ,contrast_type,25%,Median,75%
NexToU,liver,Venous,0.9620571434497833,0.9671828150749208,0.9708707332611084
NexToU,pancreas,Arterial,0.777569130063057,0.837272584438324,0.8704984188079834
NexToU,pancreas,Venous,0.8036056160926819,0.8588305115699768,0.8863058984279633
NexToU,postcava,Arterial,0.7147979438304901,0.7784366607666016,0.825268417596817
NexToU,postcava,Venous,0.772505059838295,0.8196016252040863,0.8531754165887833
NexToU,spleen,Arterial,0.9475245475769044,0.9579942226409912,0.9653958082199096
NexToU,spleen,Venous,0.9502766728401184,0.9606314897537231,0.9669029116630555
NexToU,stomach,Arterial,0.9246640503406524,0.9439945816993713,0.9548877477645874
NexToU,stomach,Venous,0.923661470413208,0.9446618556976318,0.9563382863998414
SAM-Adapter,aorta,Arterial,0.6238975822925568,0.6851250231266022,0.7334292680025101
SAM-Adapter,aorta,Venous,0.5199344754219055,0.5978403091430664,0.6542798280715942
SAM-Adapter,gall_bladder,Arterial,0.3596838787198066,0.5623925030231476,0.6742422580718994
SAM-Adapter,gall_bladder,Venous,0.373748779296875,0.566529393196106,0.6833943128585815
SAM-Adapter,kidney_left,Arterial,0.8727219849824905,0.8959945440292358,0.910642072558403
SAM-Adapter,kidney_left,Venous,0.8699226677417755,0.8960804343223572,0.9108252078294754
SAM-Adapter,kidney_right,Arterial,0.9009090662002563,0.9177497625350952,0.9295731782913208
SAM-Adapter,kidney_right,Venous,0.9038082212209702,0.918610155582428,0.9301307797431946
SAM-Adapter,liver,Arterial,0.935674861073494,0.9458266198635101,0.9531109035015107
SAM-Adapter,liver,Venous,0.9439413696527481,0.9515318274497986,0.9575144052505493
SAM-Adapter,pancreas,Arterial,0.4456076472997665,0.5341892540454865,0.5954390466213226
SAM-Adapter,pancreas,Venous,0.4610690474510193,0.5427045822143555,0.5994036197662354
SAM-Adapter,postcava,Arterial,0.3820580244064331,0.4895896315574646,0.5800962448120117
SAM-Adapter,postcava,Venous,0.4273495674133301,0.5218701362609863,0.5964736342430115
SAM-Adapter,spleen,Arterial,0.8821492791175842,0.9195994436740875,0.9378263205289842
SAM-Adapter,spleen,Venous,0.9216325581073762,0.9373739063739777,0.9484039545059205
SAM-Adapter,stomach,Arterial,0.8762461841106415,0.9072131812572479,0.9250599145889282
SAM-Adapter,stomach,Venous,0.8682096004486084,0.9057004451751708,0.9254854917526244
STU-Net B,aorta,Arterial,0.8470191955566406,0.8998922109603882,0.9178881645202636
STU-Net B,aorta,Venous,0.7131611108779907,0.7739469408988953,0.8712206482887268
STU-Net B,gall_bladder,Arterial,0.8298667073249817,0.8764841556549072,0.905563473701477
STU-Net B,gall_bladder,Venous,0.8533841967582703,0.895078718662262,0.9229258894920348
