"algoRow","algoCol","pval","confidenceTier"
"_SAM-Adapter","MONAI_UNETR",1,"<75%"
"nnU-Net_MedNeXt","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UNETR",1.23676292908356e-307,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UNETR",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UNETR",0,"<U+2265>99.99%"
"MONAI_LHU-Net","Vision_Language_Swin_UNETR_CLIP",6.96665911689328e-20,"<U+2265>99.99%"
"MONAI_SegVol","Vision_Language_Swin_UNETR_CLIP",0.999999999999999,"<75%"
"MONAI_Swin_UNETR","Vision_Language_Swin_UNETR_CLIP",1,"<75%"
"MONAI_UCTransNet","Vision_Language_Swin_UNETR_CLIP",1,"<75%"
"MONAI_UNEST","Vision_Language_Swin_UNETR_CLIP",1,"<75%"
"MONAI_UNETR","Vision_Language_Swin_UNETR_CLIP",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","Vision_Language_Swin_UNETR_CLIP",NA,NA
"Vision_Language_U-Net_CLIP","Vision_Language_Swin_UNETR_CLIP",1.05376985685773e-18,"<U+2265>99.99%"
"_Diff-UNet","Vision_Language_Swin_UNETR_CLIP",6.06836936037746e-19,"<U+2265>99.99%"
"_MedFormer","Vision_Language_Swin_UNETR_CLIP",6.47289266818484e-21,"<U+2265>99.99%"
"_SAM-Adapter","Vision_Language_Swin_UNETR_CLIP",1,"<75%"
"nnU-Net_MedNeXt","Vision_Language_Swin_UNETR_CLIP",1.60818185707248e-213,"<U+2265>99.99%"
"nnU-Net_NexToU","Vision_Language_Swin_UNETR_CLIP",0.96969477234369,"<75%"
"nnU-Net_ResEncL","Vision_Language_Swin_UNETR_CLIP",4.96744756911751e-230,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","Vision_Language_Swin_UNETR_CLIP",1.56831470855502e-255,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","Vision_Language_Swin_UNETR_CLIP",5.33155359122629e-214,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","Vision_Language_Swin_UNETR_CLIP",4.15123092507339e-229,"<U+2265>99.99%"
"nnU-Net_U-Net","Vision_Language_Swin_UNETR_CLIP",1.24415718092181e-203,"<U+2265>99.99%"
"nnU-Net_UniSeg","Vision_Language_Swin_UNETR_CLIP",1.00412423360925e-56,"<U+2265>99.99%"
"MONAI_LHU-Net","Vision_Language_U-Net_CLIP",0.0851786537347905,"<U+2265>90%"
"MONAI_SegVol","Vision_Language_U-Net_CLIP",1,"<75%"
"MONAI_Swin_UNETR","Vision_Language_U-Net_CLIP",1,"<75%"
"MONAI_UCTransNet","Vision_Language_U-Net_CLIP",1,"<75%"
"MONAI_UNEST","Vision_Language_U-Net_CLIP",1,"<75%"
"MONAI_UNETR","Vision_Language_U-Net_CLIP",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","Vision_Language_U-Net_CLIP",1,"<75%"
"Vision_Language_U-Net_CLIP","Vision_Language_U-Net_CLIP",NA,NA
"_Diff-UNet","Vision_Language_U-Net_CLIP",0.00576298562772755,"<U+2265>99%"
"_MedFormer","Vision_Language_U-Net_CLIP",0.17014743924015,"<U+2265>75%"
"_SAM-Adapter","Vision_Language_U-Net_CLIP",1,"<75%"
"nnU-Net_MedNeXt","Vision_Language_U-Net_CLIP",1.04323838724314e-118,"<U+2265>99.99%"
"nnU-Net_NexToU","Vision_Language_U-Net_CLIP",1,"<75%"
"nnU-Net_ResEncL","Vision_Language_U-Net_CLIP",1.85824300143625e-142,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","Vision_Language_U-Net_CLIP",4.25370244666486e-162,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","Vision_Language_U-Net_CLIP",6.08953723735902e-133,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","Vision_Language_U-Net_CLIP",1.82904574111654e-150,"<U+2265>99.99%"
"nnU-Net_U-Net","Vision_Language_U-Net_CLIP",3.68281012575823e-127,"<U+2265>99.99%"
"nnU-Net_UniSeg","Vision_Language_U-Net_CLIP",2.15408810550074e-13,"<U+2265>99.99%"
"MONAI_LHU-Net","_Diff-UNet",0.979881831743628,"<75%"
"MONAI_SegVol","_Diff-UNet",1,"<75%"
"MONAI_Swin_UNETR","_Diff-UNet",1,"<75%"
"MONAI_UCTransNet","_Diff-UNet",1,"<75%"
"MONAI_UNEST","_Diff-UNet",1,"<75%"
"MONAI_UNETR","_Diff-UNet",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","_Diff-UNet",1,"<75%"
"Vision_Language_U-Net_CLIP","_Diff-UNet",0.994237322306736,"<75%"
"_Diff-UNet","_Diff-UNet",NA,NA
"_MedFormer","_Diff-UNet",0.0200845230301133,"<U+2265>95%"
"_SAM-Adapter","_Diff-UNet",1,"<75%"
"nnU-Net_MedNeXt","_Diff-UNet",2.94736716325204e-105,"<U+2265>99.99%"
"nnU-Net_NexToU","_Diff-UNet",1,"<75%"
"nnU-Net_ResEncL","_Diff-UNet",3.86672088054275e-117,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_Diff-UNet",3.65676217390538e-156,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_Diff-UNet",6.70854180652379e-119,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_Diff-UNet",4.56033392448923e-145,"<U+2265>99.99%"
"nnU-Net_U-Net","_Diff-UNet",2.83520495659723e-125,"<U+2265>99.99%"
"nnU-Net_UniSeg","_Diff-UNet",1.43207814784596e-13,"<U+2265>99.99%"
"MONAI_LHU-Net","_MedFormer",0.969637890197505,"<75%"
"MONAI_SegVol","_MedFormer",1,"<75%"
"MONAI_Swin_UNETR","_MedFormer",1,"<75%"
"MONAI_UCTransNet","_MedFormer",1,"<75%"
"MONAI_UNEST","_MedFormer",1,"<75%"
"MONAI_UNETR","_MedFormer",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","_MedFormer",1,"<75%"
"Vision_Language_U-Net_CLIP","_MedFormer",0.829857132266026,"<75%"
"_Diff-UNet","_MedFormer",0.979916355091623,"<75%"
"_MedFormer","_MedFormer",NA,NA
"_SAM-Adapter","_MedFormer",1,"<75%"
"nnU-Net_MedNeXt","_MedFormer",8.24974439059391e-91,"<U+2265>99.99%"
"nnU-Net_NexToU","_MedFormer",1,"<75%"
"nnU-Net_ResEncL","_MedFormer",5.98757338141748e-106,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_MedFormer",1.9113831436328e-129,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_MedFormer",3.48262299214153e-108,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_MedFormer",1.74737594894631e-130,"<U+2265>99.99%"
"nnU-Net_U-Net","_MedFormer",5.05701973958032e-90,"<U+2265>99.99%"
"nnU-Net_UniSeg","_MedFormer",1.00508971612395e-23,"<U+2265>99.99%"
"MONAI_LHU-Net","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_SegVol","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_Swin_UNETR","_SAM-Adapter",9.90161851997592e-250,"<U+2265>99.99%"
"MONAI_UCTransNet","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_UNEST","_SAM-Adapter",0,"<U+2265>99.99%"
