"algoRow","algoCol","pval","confidenceTier"
"nnU-Net_STU-Net_B","Vision_Language_U-Net_CLIP",8.50740489332972e-162,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","Vision_Language_U-Net_CLIP",1.2179074474718e-132,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","Vision_Language_U-Net_CLIP",3.65809148223308e-150,"<U+2265>99.99%"
"nnU-Net_U-Net","Vision_Language_U-Net_CLIP",7.36562025151647e-127,"<U+2265>99.99%"
"nnU-Net_UniSeg","Vision_Language_U-Net_CLIP",4.30817621100148e-13,"<U+2265>99.99%"
"MONAI_LHU-Net","_Diff-UNet",0.0402381786234022,"<U+2265>95%"
"MONAI_SegVol","_Diff-UNet",2.56747435993844e-35,"<U+2265>99.99%"
"MONAI_Swin_UNETR","_Diff-UNet",0,"<U+2265>99.99%"
"MONAI_UCTransNet","_Diff-UNet",3.1213173627257e-187,"<U+2265>99.99%"
"MONAI_UNEST","_Diff-UNet",9.72437943116882e-215,"<U+2265>99.99%"
"MONAI_UNETR","_Diff-UNet",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","_Diff-UNet",1.21367387207549e-18,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","_Diff-UNet",0.0115259712554551,"<U+2265>95%"
"_Diff-UNet","_Diff-UNet",NA,NA
"_MedFormer","_Diff-UNet",0.0401690460602265,"<U+2265>95%"
"_SAM-Adapter","_Diff-UNet",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","_Diff-UNet",5.89473432650408e-105,"<U+2265>99.99%"
"nnU-Net_NexToU","_Diff-UNet",6.32706195490726e-30,"<U+2265>99.99%"
"nnU-Net_ResEncL","_Diff-UNet",7.7334417610855e-117,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_Diff-UNet",7.31352434781077e-156,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_Diff-UNet",1.34170836130476e-118,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_Diff-UNet",9.12066784897847e-145,"<U+2265>99.99%"
"nnU-Net_U-Net","_Diff-UNet",5.67040991319446e-125,"<U+2265>99.99%"
"nnU-Net_UniSeg","_Diff-UNet",2.86415629569193e-13,"<U+2265>99.99%"
"MONAI_LHU-Net","_MedFormer",0.0607267068735605,"<U+2265>90%"
"MONAI_SegVol","_MedFormer",4.64346854188876e-80,"<U+2265>99.99%"
"MONAI_Swin_UNETR","_MedFormer",0,"<U+2265>99.99%"
"MONAI_UCTransNet","_MedFormer",4.96424434012362e-144,"<U+2265>99.99%"
"MONAI_UNEST","_MedFormer",3.92193954186005e-225,"<U+2265>99.99%"
"MONAI_UNETR","_MedFormer",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","_MedFormer",1.29457853363697e-20,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","_MedFormer",0.3402948784803,"<75%"
"_Diff-UNet","_MedFormer",0.0401690460602265,"<U+2265>95%"
"_MedFormer","_MedFormer",NA,NA
"_SAM-Adapter","_MedFormer",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","_MedFormer",1.64994887811878e-90,"<U+2265>99.99%"
"nnU-Net_NexToU","_MedFormer",2.93153602710624e-23,"<U+2265>99.99%"
"nnU-Net_ResEncL","_MedFormer",1.1975146762835e-105,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_MedFormer",3.82276628726559e-129,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_MedFormer",6.96524598428306e-108,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_MedFormer",3.49475189789261e-130,"<U+2265>99.99%"
"nnU-Net_U-Net","_MedFormer",1.01140394791606e-89,"<U+2265>99.99%"
"nnU-Net_UniSeg","_MedFormer",2.0101794322479e-23,"<U+2265>99.99%"
"MONAI_LHU-Net","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_SegVol","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_Swin_UNETR","_SAM-Adapter",1.98032370399518e-249,"<U+2265>99.99%"
"MONAI_UCTransNet","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_UNEST","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_UNETR","_SAM-Adapter",1.52494818720376e-137,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","_SAM-Adapter",0,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","_SAM-Adapter",0,"<U+2265>99.99%"
"_Diff-UNet","_SAM-Adapter",0,"<U+2265>99.99%"
"_MedFormer","_SAM-Adapter",0,"<U+2265>99.99%"
"_SAM-Adapter","_SAM-Adapter",NA,NA
"nnU-Net_MedNeXt","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_NexToU","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_ResEncL","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_U-Net","_SAM-Adapter",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","_SAM-Adapter",0,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_MedNeXt",7.08944621097871e-150,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_MedNeXt",7.32809429051234e-241,"<U+2265>99.99%"
"MONAI_Swin_UNETR","nnU-Net_MedNeXt",0,"<U+2265>99.99%"
"MONAI_UCTransNet","nnU-Net_MedNeXt",0,"<U+2265>99.99%"
"MONAI_UNEST","nnU-Net_MedNeXt",0,"<U+2265>99.99%"
"MONAI_UNETR","nnU-Net_MedNeXt",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_MedNeXt",3.21636371414496e-213,"<U+2265>99.99%"
